rms,Genre
0.025820093,Pop
0.025690952,Pop
0.025936523,Pop
0.026444206,Pop
0.026040893,Pop
0.024723733,Pop
0.025062453,Pop
0.027111327,Pop
0.029674826,Pop
0.029855032,Pop
0.029848693,Pop
0.028532792,Pop
0.026401358,Pop
0.026480794,Pop
0.024955893,Pop
0.023612095,Pop
0.023186313,Pop
0.022927545,Pop
0.025502764,Pop
0.026645603,Pop
0.027081124,Pop
0.02707895,Pop
0.024904076,Pop
0.02913726,Pop
0.035367355,Pop
0.04073394,Pop
0.043611873,Pop
0.041690107,Pop
0.037813243,Pop
0.03351999,Pop
0.03182332,Pop
0.03067787,Pop
0.029149802,Pop
0.028252147,Pop
0.026557572,Pop
0.02634154,Pop
0.025159271,Pop
0.022773655,Pop
0.019966213,Pop
0.019137695,Pop
0.025836963,Pop
0.030594163,Pop
0.035022125,Pop
0.03678191,Pop
0.034527775,Pop
0.03283646,Pop
0.030938778,Pop
0.030024808,Pop
0.0293832,Pop
0.029495109,Pop
0.029992783,Pop
0.029799178,Pop
0.029714352,Pop
0.028997207,Pop
0.027395234,Pop
0.026253799,Pop
0.02493654,Pop
0.024672974,Pop
0.024328714,Pop
0.024814319,Pop
0.024947021,Pop
0.023503112,Pop
0.022851743,Pop
0.021306353,Pop
0.019952761,Pop
0.019296534,Pop
0.01790041,Pop
0.02076526,Pop
0.026152499,Pop
0.02929571,Pop
0.03238973,Pop
0.032288108,Pop
0.030251969,Pop
0.030558445,Pop
0.02950091,Pop
0.02849273,Pop
0.026956525,Pop
0.02329219,Pop
0.020464467,Pop
0.018415118,Pop
0.0176593,Pop
0.016349718,Pop
0.016206054,Pop
0.01596586,Pop
0.015979176,Pop
0.015999852,Pop
0.016221354,Pop
0.016051028,Pop
0.015129215,Pop
0.019405834,Pop
0.032182004,Pop
0.15045981,Pop
0.21368387,Pop
0.23754315,Pop
0.25866988,Pop
0.23740311,Pop
0.1903433,Pop
0.16216381,Pop
0.1274311,Pop
0.077680014,Pop
0.06655335,Pop
